"cviceni";"datum"
1;2020-10-06
2;2020-10-13
3;2020-10-20
4;2020-10-27
5;2020-11-03
6;2020-11-10
7;2020-11-17
8;2020-11-24
9;2020-12-01
10;2020-12-08
